id	partner_id	acciones	ncontractes	npolizas_pagador	npolizas_titular	npolizas_socio	consumannual	maxconsumannual	polizas	tarifas	bool
1	2	86	4	1	0	3	15595	9195	50536,20671,34516,34524	3.0A,2.0DHA,3.1A,3.1A	True
4	5	7	1	1	0	0	2400	2400	4646	2.0A	True
35	39	4	1	0	0	1	2880	2880	5989	2.0A	True
38	42	4	6	1	0	5	19600	5500	55513,48675,53968,49251,1313,39957	2.0A,2.0A,2.0A,2.0A,2.0DHA,2.0A	True
54	61	10	2	2	0	0	4200	2400	21,929	2.0DHS,2.0A	True
58	66	4	1	1	0	0	1800	1800	23	2.0DHA	True
63	72	7	1	1	0	0	1800	1800	44404	2.0A	True
69	80	4	10	0	0	10	29520	4500	5348,24084,54966,56451,64538,58558,65107,48223,65103,42445	2.0A,2.0A,2.0A,2.0A,2.0DHA,2.0A,2.0A,2.0A,2.0DHA,2.0A	True
88	100	7	1	1	0	0	1800	1800	40636	2.0A	True
95	107	11	1	0	0	1	9480	9480	41317	2.0A	True
100	112	10	6	2	0	4	11980	2880	46962,47348,46976,46537,41,38754	2.0A,2.0A,2.0DHA,2.0A,2.0A,2.0A	True
101	113	1	4	2	0	2	8285	2435	49919,3634,49453,42	2.0A,2.0A,2.0A,2.0A	True
107	120	10	2	1	1	0	2187	1800	43,50851	2.0A,2.0A	True
139	154	5	1	1	0	0	1000	1000	2295	2.0A	True
142	159	2	1	1	0	0	2400	2400	53	2.0A	True
149	167	4	2	1	0	1	3600	1800	72280,58	2.0A,2.0A	True
152	170	5	1	1	0	0	1150	1150	25966	2.0A	True
155	174	7	4	2	0	2	11600	5000	13431,61,65861,69826	2.0A,2.0A,2.0A,2.0A	True
164	184	5	2	1	0	1	4380	2880	68548,2892	2.0A,2.0DHA	True
168	189	9	2	2	0	0	5700	3300	63815,64	2.0DHA,2.0DHA	True
174	195	6	1	1	0	0	1800	1800	66	2.0A	True
175	196	10	2	0	0	2	5760	2880	67,75425	2.0A,2.0A	True
195	220	2	3	1	0	2	7200	3000	35087,41801,48229	2.0A,2.0A,2.0A	True
203	230	2	4	1	0	3	15360	5280	70678,38087,49207,58147	2.0A,2.0A,2.0A,2.0A	True
224	252	13	1	1	0	0	3200	3200	34086	2.0A	True
225	253	4	2	1	0	1	2350	1800	2929,79	2.0A,2.0A	True
241	269	1	5	1	0	4	12350	3950	12830,42810,68508,62646,42806	2.0DHA,2.0A,2.0A,2.0DHA,2.0A	True
252	281	12	1	1	0	0	1370	1370	63842	2.0A	True
260	290	8	4	1	0	3	13480	7000	91,769,59804,46632	2.0DHA,2.0A,2.0A,2.0A	True
262	293	5	1	1	0	0	2500	2500	21421	2.0A	True
269	301	6	3	1	0	2	5590	2160	43232,6033,43230	2.0A,2.0A,2.0A	True
274	306	5	2	1	0	1	9120	5280	65909,98	2.0A,2.0DHA	True
311	353	4	2	1	0	1	3600	1800	50745,132	2.0A,2.0A	True
313	355	8	2	1	0	1	7680	5280	29756,1058	2.0DHA,2.0A	True
314	356	5	1	1	0	0	2880	2880	40470	2.0A	True
328	372	9	1	1	0	0	2880	2880	138	2.0A	True
332	377	30	2	0	0	2	14280	9480	41690,56301	2.1A,2.0A	True
339	385	12	2	1	0	1	4215	2880	44208,141	2.0A,2.0A	True
341	387	5	1	0	0	1	2400	2400	60448	2.0A	True
351	400	10	19	3	2	14	37520	4000	67532,49449,71624,67135,47764,3662,70765,149,46493,150,46039,68506,67718,67289,47742,26010,44944,68512,67600	2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A,2.0A	True
352	401	15	1	0	0	1	1800	1800	1936	2.0A	True
357	406	4	2	1	0	1	5600	3200	63681,38099	2.0A,2.0A	True
361	410	12	5	3	0	2	7690	3000	58400,155,69104,58367,56427	2.0DHA,2.0DHA,2.0DHA,2.0A,2.0A	True
363	412	10	2	2	0	0	4200	2400	156,1488	2.0A,2.0A	True
372	423	12	1	1	0	0	2400	2400	161	2.0DHA	True
373	424	12	2	2	0	0	4200	2400	51243,162	2.0A,2.0A	True
376	428	3	3	1	0	2	7680	2880	57292,13650,65145	2.0A,2.0A,2.0A	True
387	444	5	2	1	0	1	3081	2400	59154,1903	2.0A,2.0DHA	True
388	445	15	1	1	0	0	2880	2880	166	2.0DHA	True
389	446	10	1	1	0	0	2400	2400	167	2.0A	True
390	447	4	4	0	0	4	9000	3000	52400,8088,50471,37334	2.0A,2.0DHA,2.0A,2.0A	True
391	449	10	1	1	0	0	2400	2400	168	2.0A	True
398	459	10	1	1	0	0	3500	3500	1772	2.0A	True
